qd1,qd2,phrase1,phrase2,label
4193,4194,if you do not want to undertake it say so now,if you think you cannot do it say so now,hemingway
4195,4196,i will do it robert jordan had said,i will do it all right,hemingway
4197,4198,that is all i have to know golz said,that nothing comes up over that bridge,hemingway
4199,4200,that is absolute,i understand,hemingway
4201,4202,i do not like to ask people to do such things and in such a way golz went on,i could not order you to do it,hemingway
4203,4204,i understand what you may be forced to do through my putting such conditions,i explain very carefully so that you understand and that you understand all of the possible difficulties and the importance,hemingway
4205,4206,and howwill you advance on la granja if that bridge is blown,we go forward prepared to repair it after we have stormed the pass,hemingway
4207,4208,it is a very complicated and beautiful operation,as complicated and as beautiful as always,hemingway
4209,4210,the plan has been manufactured in madrid,it is another of vicente rojo the unsuccessful professors masterpieces,hemingway
4211,4212,i make the attack and i make it as always not in sufficient force,it is a very possible operation in spite of that,hemingway
4213,4214,i am much happier about it than usual,it can be successful with that bridge eliminated,hemingway
4215,4216,we can take segovia,look i showyou howit goes,hemingway
4217,4218,you see,it is not the top of the pass where we attack,hemingway
4219,4220,we hold that,it is much beyond,hemingway
4221,4222,look here like this i would rather not know robert jordan said,good said golz,hemingway
4223,4224,it is less of baggage to carry with you on the other side yes,i would always rather not know,hemingway
4225,4226,then no matter what can happen it was not me that talked,it is better not to know golz stroked his forehead with the pencil,hemingway
4227,4228,many times i wish i did not knowmyself,but you do knowthe one thing you must knowabout the bridge,hemingway
4229,4230,yes,i knowthat,hemingway
4231,4232,i believe you do golz said,i will not make you any little speech,hemingway
4233,4234,let us nowhave a drink,so much talking makes me very thirsty comrade hordan,hemingway
4235,4236,you have a funny name in spanish comrade hordown,howdo you say golz in spanish comrade general,hemingway
4237,4238,hotze said golz grinning making the sound deep in his throat as though hawking with a bad cold,hotze he croaked,hemingway
4239,4240,comrade heneral khotze,if i had known howthey pronounced golz in spanish i would pick me out a better name before i come to war here,hemingway
4241,4242,when i think i come to command a division and i can pick out any name i want and i pick out hotze,heneral hotze,hemingway
4243,4244,nowit is too late to change,howdo you like partizan work,hemingway
4245,4246,it was the russian term for guerilla work behind the lines,very much robert jordan said,hemingway
4247,4248,he grinned,it is very healthy in the open air,hemingway
